GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US49035113308,49035113308,"Census Tract 1133.08, Salt Lake County, Utah",5541,486
1400000US49035113309,49035113309,"Census Tract 1133.09, Salt Lake County, Utah",5408,506
1400000US49035113310,49035113310,"Census Tract 1133.10, Salt Lake County, Utah",2792,379
1400000US49035113406,49035113406,"Census Tract 1134.06, Salt Lake County, Utah",6710,594
1400000US49035113407,49035113407,"Census Tract 1134.07, Salt Lake County, Utah",11062,1003
1400000US49035113408,49035113408,"Census Tract 1134.08, Salt Lake County, Utah",6300,491
1400000US49035113409,49035113409,"Census Tract 1134.09, Salt Lake County, Utah",5823,458
1400000US49035113410,49035113410,"Census Tract 1134.10, Salt Lake County, Utah",6456,478
1400000US49035113411,49035113411,"Census Tract 1134.11, Salt Lake County, Utah",2769,216
1400000US49035113412,49035113412,"Census Tract 1134.12, Salt Lake County, Utah",2680,373
1400000US49035113413,49035113413,"Census Tract 1134.13, Salt Lake County, Utah",5960,544
1400000US49035113505,49035113505,"Census Tract 1135.05, Salt Lake County, Utah",7133,688
1400000US49035113509,49035113509,"Census Tract 1135.09, Salt Lake County, Utah",6847,600
1400000US49035113510,49035113510,"Census Tract 1135.10, Salt Lake County, Utah",3271,461
1400000US49035113511,49035113511,"Census Tract 1135.11, Salt Lake County, Utah",4458,374
1400000US49035113512,49035113512,"Census Tract 1135.12, Salt Lake County, Utah",3506,347
1400000US49035113513,49035113513,"Census Tract 1135.13, Salt Lake County, Utah",6153,524
1400000US49035113514,49035113514,"Census Tract 1135.14, Salt Lake County, Utah",5908,646
1400000US49035113515,49035113515,"Census Tract 1135.15, Salt Lake County, Utah",5781,423
1400000US49035113520,49035113520,"Census Tract 1135.20, Salt Lake County, Utah",4058,313
1400000US49035113521,49035113521,"Census Tract 1135.21, Salt Lake County, Utah",6042,582
1400000US49035113522,49035113522,"Census Tract 1135.22, Salt Lake County, Utah",3473,331
1400000US49035113523,49035113523,"Census Tract 1135.23, Salt Lake County, Utah",6429,379
1400000US49035113525,49035113525,"Census Tract 1135.25, Salt Lake County, Utah",7139,411
1400000US49035113526,49035113526,"Census Tract 1135.26, Salt Lake County, Utah",4890,376
1400000US49035113527,49035113527,"Census Tract 1135.27, Salt Lake County, Utah",4288,329
1400000US49035113528,49035113528,"Census Tract 1135.28, Salt Lake County, Utah",5174,284
1400000US49035113532,49035113532,"Census Tract 1135.32, Salt Lake County, Utah",3494,249
1400000US49035113533,49035113533,"Census Tract 1135.33, Salt Lake County, Utah",4500,338
1400000US49035113534,49035113534,"Census Tract 1135.34, Salt Lake County, Utah",7616,509
1400000US49035113535,49035113535,"Census Tract 1135.35, Salt Lake County, Utah",7220,377
1400000US49035113536,49035113536,"Census Tract 1135.36, Salt Lake County, Utah",4003,435
1400000US49035113537,49035113537,"Census Tract 1135.37, Salt Lake County, Utah",3494,429
1400000US49035113538,49035113538,"Census Tract 1135.38, Salt Lake County, Utah",3712,395
1400000US49035113539,49035113539,"Census Tract 1135.39, Salt Lake County, Utah",4021,479
1400000US49035113600,49035113600,"Census Tract 1136, Salt Lake County, Utah",5208,516
1400000US49035113701,49035113701,"Census Tract 1137.01, Salt Lake County, Utah",4235,268
1400000US49035113702,49035113702,"Census Tract 1137.02, Salt Lake County, Utah",2793,295
1400000US49035113801,49035113801,"Census Tract 1138.01, Salt Lake County, Utah",5381,463
1400000US49035113802,49035113802,"Census Tract 1138.02, Salt Lake County, Utah",3731,455
1400000US49035113803,49035113803,"Census Tract 1138.03, Salt Lake County, Utah",8953,636
1400000US49035113903,49035113903,"Census Tract 1139.03, Salt Lake County, Utah",5451,493
1400000US49035113904,49035113904,"Census Tract 1139.04, Salt Lake County, Utah",5273,412
1400000US49035113905,49035113905,"Census Tract 1139.05, Salt Lake County, Utah",8147,477
1400000US49035113906,49035113906,"Census Tract 1139.06, Salt Lake County, Utah",4266,551
1400000US49035113907,49035113907,"Census Tract 1139.07, Salt Lake County, Utah",8044,823
1400000US49035114000,49035114000,"Census Tract 1140, Salt Lake County, Utah",2080,342
1400000US49035114100,49035114100,"Census Tract 1141, Salt Lake County, Utah",2386,203
1400000US49035114200,49035114200,"Census Tract 1142, Salt Lake County, Utah",4189,291
